#node	identifier	category	term ID	term description
CCK	9606.ENSP00000379472	GO Process	GO:0000902	Cell morphogenesis
CCK	9606.ENSP00000379472	GO Process	GO:0000904	Cell morphogenesis involved in differentiation
CCK	9606.ENSP00000379472	GO Process	GO:0001764	Neuron migration
CCK	9606.ENSP00000379472	GO Process	GO:0007154	Cell communication
CCK	9606.ENSP00000379472	GO Process	GO:0007165	Signal transduction
CCK	9606.ENSP00000379472	GO Process	GO:0007275	Multicellular organism development
CCK	9606.ENSP00000379472	GO Process	GO:0007399	Nervous system development
CCK	9606.ENSP00000379472	GO Process	GO:0007409	Axonogenesis
CCK	9606.ENSP00000379472	GO Process	GO:0007586	Digestion
CCK	9606.ENSP00000379472	GO Process	GO:0007610	Behavior
CCK	9606.ENSP00000379472	GO Process	GO:0007631	Feeding behavior
CCK	9606.ENSP00000379472	GO Process	GO:0009653	Anatomical structure morphogenesis
CCK	9606.ENSP00000379472	GO Process	GO:0009987	Cellular process
CCK	9606.ENSP00000379472	GO Process	GO:0016043	Cellular component organization
CCK	9606.ENSP00000379472	GO Process	GO:0016477	Cell migration
CCK	9606.ENSP00000379472	GO Process	GO:0022008	Neurogenesis
CCK	9606.ENSP00000379472	GO Process	GO:0023052	Signaling
CCK	9606.ENSP00000379472	GO Process	GO:0030030	Cell projection organization
CCK	9606.ENSP00000379472	GO Process	GO:0030154	Cell differentiation
CCK	9606.ENSP00000379472	GO Process	GO:0030182	Neuron differentiation
CCK	9606.ENSP00000379472	GO Process	GO:0031175	Neuron projection development
CCK	9606.ENSP00000379472	GO Process	GO:0032501	Multicellular organismal process
CCK	9606.ENSP00000379472	GO Process	GO:0032502	Developmental process
CCK	9606.ENSP00000379472	GO Process	GO:0032989	Cellular component morphogenesis
CCK	9606.ENSP00000379472	GO Process	GO:0032990	Cell part morphogenesis
CCK	9606.ENSP00000379472	GO Process	GO:0042755	Eating behavior
CCK	9606.ENSP00000379472	GO Process	GO:0048468	Cell development
CCK	9606.ENSP00000379472	GO Process	GO:0048666	Neuron development
CCK	9606.ENSP00000379472	GO Process	GO:0048667	Cell morphogenesis involved in neuron differentiation
CCK	9606.ENSP00000379472	GO Process	GO:0048699	Generation of neurons
CCK	9606.ENSP00000379472	GO Process	GO:0048731	System development
CCK	9606.ENSP00000379472	GO Process	GO:0048812	Neuron projection morphogenesis
CCK	9606.ENSP00000379472	GO Process	GO:0048856	Anatomical structure development
CCK	9606.ENSP00000379472	GO Process	GO:0048858	Cell projection morphogenesis
CCK	9606.ENSP00000379472	GO Process	GO:0048869	Cellular developmental process
CCK	9606.ENSP00000379472	GO Process	GO:0048870	Cell motility
CCK	9606.ENSP00000379472	GO Process	GO:0050789	Regulation of biological process
CCK	9606.ENSP00000379472	GO Process	GO:0050794	Regulation of cellular process
CCK	9606.ENSP00000379472	GO Process	GO:0050896	Response to stimulus
CCK	9606.ENSP00000379472	GO Process	GO:0051716	Cellular response to stimulus
CCK	9606.ENSP00000379472	GO Process	GO:0061564	Axon development
CCK	9606.ENSP00000379472	GO Process	GO:0065007	Biological regulation
CCK	9606.ENSP00000379472	GO Process	GO:0071840	Cellular component organization or biogenesis
CCK	9606.ENSP00000379472	GO Process	GO:0120036	Plasma membrane bounded cell projection organization
CCK	9606.ENSP00000379472	GO Process	GO:0120039	Plasma membrane bounded cell projection morphogenesis
CCK	9606.ENSP00000379472	GO Function	GO:0005102	Signaling receptor binding
CCK	9606.ENSP00000379472	GO Function	GO:0005179	Hormone activity
CCK	9606.ENSP00000379472	GO Function	GO:0005184	Neuropeptide hormone activity
CCK	9606.ENSP00000379472	GO Function	GO:0005488	Binding
CCK	9606.ENSP00000379472	GO Function	GO:0005515	Protein binding
CCK	9606.ENSP00000379472	GO Function	GO:0030545	Signaling receptor regulator activity
CCK	9606.ENSP00000379472	GO Function	GO:0030546	Signaling receptor activator activity
CCK	9606.ENSP00000379472	GO Function	GO:0048018	Receptor ligand activity
CCK	9606.ENSP00000379472	GO Function	GO:0051427	Hormone receptor binding
CCK	9606.ENSP00000379472	GO Function	GO:0051428	Peptide hormone receptor binding
CCK	9606.ENSP00000379472	GO Function	GO:0098772	Molecular function regulator activity
CCK	9606.ENSP00000379472	GO Component	GO:0005576	Extracellular region
CCK	9606.ENSP00000379472	GO Component	GO:0005615	Extracellular space
CCK	9606.ENSP00000379472	GO Component	GO:0030424	Axon
CCK	9606.ENSP00000379472	GO Component	GO:0042995	Cell projection
CCK	9606.ENSP00000379472	GO Component	GO:0043005	Neuron projection
CCK	9606.ENSP00000379472	GO Component	GO:0110165	Cellular anatomical entity
CCK	9606.ENSP00000379472	GO Component	GO:0120025	Plasma membrane bounded cell projection
CCK	9606.ENSP00000379472	STRING clusters	CL:23867	Peptide ligand-binding receptors, and Class B/2 (Secretin family receptors)
CCK	9606.ENSP00000379472	STRING clusters	CL:23868	Peptide ligand-binding receptors, and Neuropeptide receptor binding
CCK	9606.ENSP00000379472	STRING clusters	CL:23869	Peptide ligand-binding receptors, and Neuropeptide receptor binding
CCK	9606.ENSP00000379472	STRING clusters	CL:23870	Peptide ligand-binding receptors
CCK	9606.ENSP00000379472	STRING clusters	CL:23871	Peptide ligand-binding receptors
CCK	9606.ENSP00000379472	STRING clusters	CL:23872	Mixed, incl. Positive regulation of respiratory gaseous exchange, and Panic disorder
CCK	9606.ENSP00000379472	STRING clusters	CL:23914	Cholecystokinin receptor, and Gastrin/cholecystokinin, conserved site
CCK	9606.ENSP00000379472	KEGG	hsa04080	Neuroactive ligand-receptor interaction
CCK	9606.ENSP00000379472	KEGG	hsa04911	Insulin secretion
CCK	9606.ENSP00000379472	KEGG	hsa04972	Pancreatic secretion
CCK	9606.ENSP00000379472	Reactome	HSA-162582	Signal Transduction
CCK	9606.ENSP00000379472	Reactome	HSA-372790	Signaling by GPCR
CCK	9606.ENSP00000379472	Reactome	HSA-373076	Class A/1 (Rhodopsin-like receptors)
CCK	9606.ENSP00000379472	Reactome	HSA-375276	Peptide ligand-binding receptors
CCK	9606.ENSP00000379472	Reactome	HSA-388396	GPCR downstream signalling
CCK	9606.ENSP00000379472	Reactome	HSA-416476	G alpha (q) signalling events
CCK	9606.ENSP00000379472	Reactome	HSA-500792	GPCR ligand binding
CCK	9606.ENSP00000379472	WikiPathways	WP2596	Gastric acid production
CCK	9606.ENSP00000379472	WikiPathways	WP3679	Cell-type dependent selectivity of CCK2R signaling
CCK	9606.ENSP00000379472	DISEASES	DOID:0050686	Organ system cancer
CCK	9606.ENSP00000379472	DISEASES	DOID:0060262	Gallbladder disease
CCK	9606.ENSP00000379472	DISEASES	DOID:10534	Stomach cancer
CCK	9606.ENSP00000379472	DISEASES	DOID:14566	Disease of cellular proliferation
CCK	9606.ENSP00000379472	DISEASES	DOID:162	Cancer
CCK	9606.ENSP00000379472	DISEASES	DOID:1949	Cholecystitis
CCK	9606.ENSP00000379472	DISEASES	DOID:2828	Acalculous cholecystitis
CCK	9606.ENSP00000379472	DISEASES	DOID:3118	Hepatobiliary disease
CCK	9606.ENSP00000379472	DISEASES	DOID:3119	Gastrointestinal system cancer
CCK	9606.ENSP00000379472	DISEASES	DOID:4	Disease
CCK	9606.ENSP00000379472	DISEASES	DOID:4138	Bile duct disease
CCK	9606.ENSP00000379472	DISEASES	DOID:4140	Biliary dyskinesia
CCK	9606.ENSP00000379472	DISEASES	DOID:7	Disease of anatomical entity
CCK	9606.ENSP00000379472	DISEASES	DOID:76	Stomach disease
CCK	9606.ENSP00000379472	DISEASES	DOID:77	Gastrointestinal system disease
CCK	9606.ENSP00000379472	DISEASES	DOID:9446	Cholangitis
CCK	9606.ENSP00000379472	DISEASES	DOID:9741	Biliary tract disease
CCK	9606.ENSP00000379472	TISSUES	BTO:0000000	Tissues, cell types and enzyme sources
CCK	9606.ENSP00000379472	TISSUES	BTO:0000003	Intestinal cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000028	Pancreatic acinar cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0000042	Animal
CCK	9606.ENSP00000379472	TISSUES	BTO:0000096	Urinary bladder cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000167	Adenocarcinoma cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000183	Pancreatic cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000188	Colonic cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000224	Liver cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000297	Carcinoma cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000345	Digestive gland
CCK	9606.ENSP00000379472	TISSUES	BTO:0000346	Digestive juice
CCK	9606.ENSP00000379472	TISSUES	BTO:0000353	Lung cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000374	Bone cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000385	Bone cancer cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000407	Osteosarcoma cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000433	Exocrine acinar cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0000434	Exocrine pancreas
CCK	9606.ENSP00000379472	TISSUES	BTO:0000504	Pancreatic juice
CCK	9606.ENSP00000379472	TISSUES	BTO:0000522	Gland
CCK	9606.ENSP00000379472	TISSUES	BTO:0000578	Hepatoma cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000616	I-cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0000666	LoVo cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0000675	SW-620 cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0000711	Glioma cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000762	Lung cancer cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000765	Exocrine gland
CCK	9606.ENSP00000379472	TISSUES	BTO:0000787	Gastric cancer cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000792	Urinary bladder carcinoma cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000794	Pancreatic cancer cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000797	Colonic cancer cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0000925	Nerve
CCK	9606.ENSP00000379472	TISSUES	BTO:0000988	Pancreas
CCK	9606.ENSP00000379472	TISSUES	BTO:0001007	AGS cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0001088	Gastric cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0001104	Cranial nerve
CCK	9606.ENSP00000379472	TISSUES	BTO:0001120	Epithelial cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0001225	MKN-45 cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0001484	Nervous system
CCK	9606.ENSP00000379472	TISSUES	BTO:0001488	Endocrine gland
CCK	9606.ENSP00000379472	TISSUES	BTO:0001489	Whole body
CCK	9606.ENSP00000379472	TISSUES	BTO:0001491	Viscus
CCK	9606.ENSP00000379472	TISSUES	BTO:0001510	Rectal cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0001532	Rectal cancer cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0001577	Esophageal cancer cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0001596	MG-63 cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0001614	Colorectal cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0001616	Colorectal cancer cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0001913	Colonic adenocarcinoma cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0001914	Colorectal adenocarcinoma cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0001966	Cervical cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0001967	Cervical cancer cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0001968	C-33A cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0001971	Plant cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0001977	Oc cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0002024	Squamous cell carcinoma cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0002035	U-251MG cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0002210	SiHa cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0002212	Cervical squamous cell carcinoma cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0002380	Gastric adenocarcinoma cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0002392	SGC-7901 cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0002428	Esophageal squamous cell carcinoma cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0002552	NCI-H1299 cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0002553	Non-small cell lung cancer cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0002817	Esophageal cancer cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0002861	Esophageal squamous cell carcinoma cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0003137	5637 cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0003167	143B cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0003227	SMMC-7721 cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0003472	Vagus nerve
CCK	9606.ENSP00000379472	TISSUES	BTO:0003477	SK-HEP-1 cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0003491	SW-1990 cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0003640	Esophageal cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0003808	FHC cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0003878	BGC-823 cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0004169	MHCC97-H cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0004461	KYSE-30 cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0004469	LM3 cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0004493	Gastric epithelium cell line
CCK	9606.ENSP00000379472	TISSUES	BTO:0004828	HGC-27 cell
